order_id,ship_date,product_category,loss_recorded,loss_type,loss_amount_usd,pred_severity_if_loss,confidence_tier
1224,2024-05-29,pet_care,1,default,20811.84,2376.70275319869,"High - recorded loss, amount logged"
1016,2024-01-02,home_appliance,1,dispute,4981.94,1632.951611672058,"High - recorded loss, amount logged"
1144,2024-05-28,home_appliance,1,dispute,1959.82,1492.5176027350983,"High - recorded loss, amount logged"
623,2024-05-14,home_appliance,1,dispute,4111.51,1199.5584446936668,"High - recorded loss, amount logged"
299,2025-06-06,pet_care,1,dispute,3417.71,1143.3533173074018,"High - recorded loss, amount logged"
1150,2025-05-27,home_appliance,1,dispute,3895.52,1124.0176655009234,"High - recorded loss, amount logged"
870,2024-06-13,pet_care,1,return,905.12,1063.6038064914292,"High - recorded loss, amount logged"
406,2024-09-15,cleaning,1,default,5930.99,1057.2602501180293,"High - recorded loss, amount logged"
308,2025-05-31,beauty,1,default,5422.98,1050.5699663096993,"High - recorded loss, amount logged"
467,2025-02-11,pet_care,1,dispute,2678.77,1024.7971276839828,"High - recorded loss, amount logged"
781,2024-06-29,cleaning,1,default,5622.36,1002.6049785759634,"High - recorded loss, amount logged"
547,2025-05-12,home_appliance,1,dispute,1348.18,985.0055162897573,"High - recorded loss, amount logged"
102,2024-03-04,pet_care,1,dispute,4822.01,977.232891416769,"High - recorded loss, amount logged"
1364,2024-05-30,home_appliance,1,default,9942.92,962.242840359247,"High - recorded loss, amount logged"
233,2024-04-12,cleaning,1,freight_overrun,416.81,961.7958454756492,"High - recorded loss, amount logged"
1352,2024-01-25,cleaning,1,dispute,2149.88,957.4971337564534,"High - recorded loss, amount logged"
883,2025-05-24,home_appliance,1,freight_overrun,484.79,925.8100038877336,"High - recorded loss, amount logged"
1179,2024-06-22,home_appliance,1,dispute,1199.38,907.6857924463912,"High - recorded loss, amount logged"
1015,2024-12-22,beauty,1,dispute,1000.61,897.1867193249532,"High - recorded loss, amount logged"
130,2024-12-04,home_appliance,1,late_payment,821.02,896.3393859403415,"High - recorded loss, amount logged"
708,2024-10-17,pet_care,1,late_payment,385.96,896.2464292003465,"High - recorded loss, amount logged"
383,2025-01-07,home_appliance,1,freight_overrun,579.31,895.1651236461557,"High - recorded loss, amount logged"
892,2024-04-27,cleaning,1,dispute,1351.45,892.2397811686667,"High - recorded loss, amount logged"
99,2025-05-26,home_appliance,1,dispute,759.7,890.4746730172833,"High - recorded loss, amount logged"
586,2025-03-02,pet_care,1,freight_overrun,346.15,885.5971497401755,"High - recorded loss, amount logged"
439,2024-06-19,cleaning,1,late_payment,638.18,885.0226082179629,"High - recorded loss, amount logged"
258,2024-12-08,pet_care,1,return,561.79,873.1629078280505,"High - recorded loss, amount logged"
502,2024-02-04,home_appliance,1,dispute,1715.23,867.7265767782369,"High - recorded loss, amount logged"
