order_id,ship_date,buyer_region,product_category,order_value_usd,buyer_tenure_yrs,new_buyer,payment_terms_days,route_risk_flag,rep_confidence_score,loss_recorded,loss_type,loss_amount_usd,days_to_loss_recorded,notes
18,2025-01-17,EU-West,beauty,4279.91,5.2,0,30,medium,0.86,0,none,0.0,,
99,2025-05-26,EU-West,home_appliance,14589.12,10.7,0,0,medium,0.49,1,dispute,759.7,79.0,quality complaint raised
790,2024-01-10,EU-North,pet_care,3918.59,2.7,0,90,medium,0.32,1,return,907.74,29.0,
631,2024-03-15,EU-South,home_appliance,12236.41,7.3,0,30,low,0.39,0,none,0.0,,
811,2025-04-14,EU-West,pet_care,5810.34,5.1,0,30,low,0.75,0,none,0.0,,
102,2024-03-04,EU-North,pet_care,10433.53,3.7,0,30,low,0.51,1,dispute,4822.01,33.0,buyer disputes invoice
903,2025-05-16,EU-West,beauty,3330.62,3.1,0,60,low,0.54,0,none,0.0,,
1251,2024-11-18,EU-West,pet_care,22871.33,3.5,0,0,low,0.87,0,none,0.0,,
722,2024-05-20,EU-East,home_appliance,16992.85,1.7,0,90,low,0.51,0,none,0.0,,
446,2024-11-17,EU-North,cleaning,14697.64,2.4,0,60,low,0.44,0,none,0.0,,
1153,2025-01-08,EU-West,cleaning,4226.58,4.3,0,0,medium,0.55,0,none,0.0,,
1322,2024-06-11,EU-East,pet_care,9238.25,1.7,0,0,medium,0.45,0,none,0.0,,
1357,2025-02-27,EU-East,pet_care,14564.88,2.6,0,30,low,0.45,0,none,0.0,,
1003,2025-06-10,EU-West,cleaning,3257.63,3.0,0,30,low,0.65,0,none,0.0,,
301,2024-09-29,EU-North,pet_care,5517.08,4.0,0,0,high,0.79,0,none,0.0,,
611,2024-07-22,EU-East,home_appliance,14436.47,3.1,0,30,high,0.5,1,return,522.21,87.0,
829,2024-12-28,EU-South,home_appliance,16352.63,8.0,0,0,medium,0.57,0,none,0.0,,
1138,2025-06-21,EU-East,beauty,13111.23,0.9,1,0,low,0.41,1,freight_overrun,336.14,95.0,
741,2024-09-17,EU-West,pet_care,21951.04,5.2,0,60,medium,0.24,0,none,0.0,,
1073,2024-11-08,EU-East,cleaning,11935.57,4.4,0,60,low,0.4,0,none,0.0,,
345,2025-05-10,EU-North,cleaning,11621.62,3.3,0,30,medium,0.69,0,none,0.0,,
978,2025-03-22,,cleaning,5418.22,1.6,0,90,medium,0.45,0,none,0.0,,
100,2025-05-17,EU-South,cleaning,11631.48,9.0,0,0,low,0.51,0,none,0.0,,
114,2024-04-29,EU-East,cleaning,26947.43,4.3,0,30,low,0.63,1,return,,35.0,
833,2025-03-27,,home_appliance,16448.6,4.9,0,30,low,0.79,0,none,0.0,,
1052,2025-01-17,EU-West,cleaning,7009.29,1.9,0,30,medium,0.57,0,none,0.0,,
64,2025-02-11,EU-North,home_appliance,19513.53,4.1,0,60,medium,0.54,0,none,0.0,,
14,2024-02-03,EU-South,pet_care,7513.48,0.9,1,90,high,0.02,1,late_payment,269.98,31.0,paid 40 days late
573,2024-07-13,EU-East,cleaning,6944.34,5.6,0,60,low,0.48,0,none,0.0,,
