order_id,ship_date,buyer_region,product_category,order_value_usd,buyer_tenure_yrs,new_buyer,payment_terms_days,route_risk_flag,rep_confidence_score,loss_recorded,loss_type,loss_amount_usd,days_to_loss_recorded,notes,days_observed,observation_window,loss_amount_reported,loss_amount_usd_imputed,route_risk_ordinal,pred_loss_proba,pred_severity_if_loss,expected_loss,risk_adjusted_value
18,2025-01-17,EU-West,beauty,4279.91,5.2,0,30,medium,0.86,0,none,0.0,,,157,120-164d,1,0.0,1,0.10710524088455343,473.75152520223367,50.741271226209825,4229.1687287737905
99,2025-05-26,EU-West,home_appliance,14589.12,10.7,0,0,medium,0.49,1,dispute,759.7,79.0,quality complaint raised,28,<30d,1,759.7,1,0.7486742164574398,890.4746730172833,666.6754280964095,13922.444571903592
790,2024-01-10,EU-North,pet_care,3918.59,2.7,0,90,medium,0.32,1,return,907.74,29.0,,530,164d+,1,907.74,1,0.7690468054698505,816.2842492156675,627.7607942146644,3290.829205785336
631,2024-03-15,EU-South,home_appliance,12236.41,7.3,0,30,low,0.39,0,none,0.0,,,465,164d+,1,0.0,0,0.4743488051218482,816.2281855637215,387.1768645289255,11849.233135471075
811,2025-04-14,EU-West,pet_care,5810.34,5.1,0,30,low,0.75,0,none,0.0,,,70,60-90d,1,0.0,0,0.18356381739671077,492.56615300397414,90.4173233658218,5719.922676634178
102,2024-03-04,EU-North,pet_care,10433.53,3.7,0,30,low,0.51,1,dispute,4822.01,33.0,buyer disputes invoice,476,164d+,1,4822.01,0,0.3244573544391404,977.232891416769,317.07039861999664,10116.459601380004
903,2025-05-16,EU-West,beauty,3330.62,3.1,0,60,low,0.54,0,none,0.0,,,38,30-60d,1,0.0,0,0.6131770777598734,652.7125784722759,400.2283914847422,2930.3916085152578
1251,2024-11-18,EU-West,pet_care,22871.33,3.5,0,0,low,0.87,0,none,0.0,,,217,164d+,1,0.0,0,0.20040680499741909,469.61984804456665,94.11501330998504,22777.214986690018
722,2024-05-20,EU-East,home_appliance,16992.85,1.7,0,90,low,0.51,0,none,0.0,,,399,164d+,1,0.0,0,0.3749570810652279,587.0940204242855,220.1350602091394,16772.714939790858
446,2024-11-17,EU-North,cleaning,14697.64,2.4,0,60,low,0.44,0,none,0.0,,,218,164d+,1,0.0,0,0.4887452904308277,821.3529060338142,401.43236460570085,14296.2076353943
1153,2025-01-08,EU-West,cleaning,4226.58,4.3,0,0,medium,0.55,0,none,0.0,,,166,164d+,1,0.0,1,0.23419075162594716,678.7385329337116,158.9542871852386,4067.6257128147613
1322,2024-06-11,EU-East,pet_care,9238.25,1.7,0,0,medium,0.45,0,none,0.0,,,377,164d+,1,0.0,1,0.42828615659098335,569.1709113163429,243.76802205106392,8994.481977948935
1357,2025-02-27,EU-East,pet_care,14564.88,2.6,0,30,low,0.45,0,none,0.0,,,116,90-120d,1,0.0,0,0.2655895877593647,563.8199120539053,149.74469801291798,14415.13530198708
1003,2025-06-10,EU-West,cleaning,3257.63,3.0,0,30,low,0.65,0,none,0.0,,,13,<30d,1,0.0,0,0.560971689643295,458.5538076837698,257.2357042887309,3000.394295711269
301,2024-09-29,EU-North,pet_care,5517.08,4.0,0,0,high,0.79,0,none,0.0,,,267,164d+,1,0.0,2,0.10648002890899362,442.69038117882275,47.137684585654455,5469.942315414345
611,2024-07-22,EU-East,home_appliance,14436.47,3.1,0,30,high,0.5,1,return,522.21,87.0,,336,164d+,1,522.21,2,0.7656561114746792,604.7459325876869,463.0274191752168,13973.442580824783
829,2024-12-28,EU-South,home_appliance,16352.63,8.0,0,0,medium,0.57,0,none,0.0,,,177,164d+,1,0.0,1,0.566875144048999,1129.3732220070308,640.2136079103177,15712.41639208968
1138,2025-06-21,EU-East,beauty,13111.23,0.9,1,0,low,0.41,1,freight_overrun,336.14,95.0,,2,<30d,1,336.14,0,0.6012036504584407,550.3780408593227,330.88928729678963,12780.34071270321
741,2024-09-17,EU-West,pet_care,21951.04,5.2,0,60,medium,0.24,0,none,0.0,,,279,164d+,1,0.0,1,0.34642840882115367,551.1332263946483,190.92820666836667,21760.111793331635
1073,2024-11-08,EU-East,cleaning,11935.57,4.4,0,60,low,0.4,0,none,0.0,,,227,164d+,1,0.0,0,0.4520362583186558,553.5845319172189,250.2402804709441,11685.329719529056
345,2025-05-10,EU-North,cleaning,11621.62,3.3,0,30,medium,0.69,0,none,0.0,,,44,30-60d,1,0.0,1,0.45436893564722625,864.3595886475407,392.7381463102574,11228.881853689743
978,2025-03-22,Unknown,cleaning,5418.22,1.6,0,90,medium,0.45,0,none,0.0,,,93,90-120d,1,0.0,1,0.5283199041027498,376.7520128524757,199.04558730073788,5219.174412699263
100,2025-05-17,EU-South,cleaning,11631.48,9.0,0,0,low,0.51,0,none,0.0,,,37,30-60d,1,0.0,0,0.11065487211905817,1065.9558796448966,117.95321154666419,11513.526788453335
114,2024-04-29,EU-East,cleaning,26947.43,4.3,0,30,low,0.63,1,return,,35.0,,420,164d+,0,658.67,0,0.4703520694882795,737.0651076018478,346.6800987081305,26600.74990129187
833,2025-03-27,Unknown,home_appliance,16448.6,4.9,0,30,low,0.79,0,none,0.0,,,88,60-90d,1,0.0,0,0.060305245494788544,472.8169777363703,28.51334391649578,16420.086656083502
1052,2025-01-17,EU-West,cleaning,7009.29,1.9,0,30,medium,0.57,0,none,0.0,,,157,120-164d,1,0.0,1,0.5110719958399961,904.5953320100062,462.3133417578978,6546.9766582421025
64,2025-02-11,EU-North,home_appliance,19513.53,4.1,0,60,medium,0.54,0,none,0.0,,,132,120-164d,1,0.0,1,0.4874989718291025,840.240225716087,409.61624612604544,19103.913753873952
14,2024-02-03,EU-South,pet_care,7513.48,0.9,1,90,high,0.02,1,late_payment,269.98,31.0,paid 40 days late,506,164d+,1,269.98,2,0.6686352957475844,758.5350080685047,507.183279454781,7006.296720545219
573,2024-07-13,EU-East,cleaning,6944.34,5.6,0,60,low,0.48,0,none,0.0,,,345,164d+,1,0.0,0,0.16696143939947947,575.882896319787,96.15023729509284,6848.1897627049075
173,2025-05-12,EU-West,beauty,7048.06,2.2,0,0,medium,0.29,1,freight_overrun,306.66,29.0,,42,30-60d,1,306.66,1,0.8106123739454103,684.7629654638051,555.0773330245141,6492.982666975487
1257,2025-06-05,EU-North,beauty,15083.05,1.7,0,90,medium,0.42,0,none,0.0,,,18,<30d,1,0.0,1,0.3798984204376543,775.6685386141543,294.6752526027009,14788.374747397298
1398,2024-08-16,EU-South,beauty,6461.57,0.9,1,30,medium,0.43,0,none,0.0,,,311,164d+,1,0.0,1,0.5100027685284059,663.8371754080792,338.5587973101974,6123.011202689802
112,2024-07-19,EU-West,home_appliance,19598.12,6.0,0,0,high,0.64,0,none,0.0,,,339,164d+,1,0.0,2,0.6076468398470514,592.0775517158239,359.77405324449956,19238.3459467555
1193,2025-04-11,EU-South,cleaning,4724.96,0.4,1,30,low,0.34,0,none,0.0,,,73,60-90d,1,0.0,0,0.6320340173234443,514.9472582688725,325.4641843533687,4399.495815646631
1068,2025-03-31,EU-North,beauty,1575.61,2.1,0,30,low,0.83,0,none,0.0,,,84,60-90d,1,0.0,0,0.321608503696475,85.96365606541534,27.64664279947663,1547.9633572005232
35,2024-01-17,EU-East,home_appliance,8341.26,2.7,0,0,high,0.98,0,none,0.0,,,523,164d+,1,0.0,2,0.6469966644958115,473.66075091822523,306.4569259466731,8034.803074053327
1071,2025-01-15,EU-South,beauty,9235.37,4.6,0,30,low,0.69,0,none,0.0,,,159,120-164d,1,0.0,0,0.14558886592163542,943.6436664498516,137.3840112325679,9097.985988767432
1032,2025-06-15,EU-North,cleaning,16735.65,2.9,0,30,high,0.63,0,none,0.0,,,8,<30d,1,0.0,2,0.6480693704392421,679.7703580654661,440.53834799474475,16295.111652005256
961,2025-04-06,EU-East,pet_care,4705.88,6.0,0,90,low,0.55,0,none,0.0,,,78,60-90d,1,0.0,0,0.1917836977228077,645.141087873504,123.72754338529542,4582.1524566147045
531,2025-05-29,EU-North,cleaning,7949.55,4.0,0,30,low,0.62,0,none,0.0,,,25,<30d,1,0.0,0,0.272883761147166,682.7338808331153,186.30698926434155,7763.243010735659
1188,2024-11-06,EU-South,home_appliance,18432.12,3.8,0,60,low,0.7,0,none,0.0,,,229,164d+,1,0.0,0,0.4266636066016723,853.3302331604099,364.0849549024664,18068.03504509753
514,2025-05-13,EU-West,beauty,9592.02,3.5,0,0,high,0.74,0,none,0.0,,,41,30-60d,1,0.0,2,0.5303966917943742,475.15181568905524,252.01895114156514,9340.001048858436
111,2024-08-23,EU-East,home_appliance,17160.05,1.3,0,0,medium,0.59,1,freight_overrun,,32.0,extra freight billed,304,164d+,0,423.64,1,0.5981337493672961,450.1116426631675,269.226964459993,16890.823035540005
1355,2024-08-15,EU-South,pet_care,5792.11,5.6,0,60,high,0.4,0,none,0.0,,,312,164d+,1,0.0,2,0.4352446315499753,1121.3238273231086,488.05017607145453,5304.0598239285455
263,2024-07-11,EU-West,cleaning,23725.74,2.8,0,60,high,0.26,0,none,0.0,,,347,164d+,1,0.0,2,0.5593636692392681,578.9593803239339,323.8488433184886,23401.89115668151
622,2024-04-23,EU-East,home_appliance,11113.64,10.6,0,60,low,0.44,0,none,0.0,,,426,164d+,1,0.0,0,0.13620134224957473,554.7961182003995,75.56397597374813,11038.076024026252
502,2024-02-04,EU-South,home_appliance,4419.95,4.1,0,60,low,0.5,1,dispute,1715.23,46.0,quality complaint raised,505,164d+,1,1715.23,0,0.592089681158603,867.7265767782369,513.7719521774724,3906.1780478225273
362,2025-01-20,EU-West,home_appliance,14971.81,6.2,0,0,medium,0.4,0,none,0.0,,,154,120-164d,1,0.0,1,0.45882934640880035,684.0112118677105,313.8444172775531,14657.965582722447
1323,2024-11-15,EU-West,beauty,11748.23,1.1,0,0,low,0.41,0,none,0.0,,,220,164d+,1,0.0,0,0.1635115543577456,754.7139884325353,123.40445734413747,11624.825542655863
507,2025-01-21,EU-West,beauty,13899.19,2.0,0,60,medium,0.48,0,none,0.0,,,153,120-164d,1,0.0,1,0.3812755736389398,724.2991617532649,276.1575783836793,13623.03242161632
1238,2024-10-28,EU-East,home_appliance,12176.59,3.0,0,30,medium,0.69,1,freight_overrun,238.99,164.0,container reweigh cost,238,164d+,1,238.99,1,0.5534155728642275,532.5215081990254,294.7056955224861,11881.884304477515
1239,2024-04-16,EU-West,pet_care,12319.01,5.2,0,0,high,0.57,1,freight_overrun,510.82,56.0,extra freight billed,433,164d+,1,510.82,2,0.6249972432649252,781.681629074297,488.54886328227144,11830.46113671773
398,2024-09-14,EU-West,home_appliance,4503.23,2.5,0,90,low,0.45,0,none,0.0,,,282,164d+,1,0.0,0,0.2634590476817947,661.117356132452,174.17734905256168,4329.0526509474375
16,2024-07-28,EU-West,cleaning,10718.35,1.3,0,30,low,0.58,0,none,0.0,,,330,164d+,1,0.0,0,0.24934892703532222,671.7080787996052,167.48968872963923,10550.86031127036
1080,2024-10-11,EU-West,pet_care,11252.43,4.1,0,30,medium,0.45,1,return,258.13,110.0,,255,164d+,1,258.13,1,0.3847515126605834,716.4508195891862,275.6555365838541,10976.774463416146
1276,2024-08-05,EU-West,beauty,33056.75,2.7,0,0,medium,0.81,0,none,0.0,,,322,164d+,1,0.0,1,0.07797348270131485,163.48190929465093,12.747253826364387,33044.00274617364
142,2024-02-08,EU-East,home_appliance,13062.31,7.7,0,30,low,0.65,0,none,0.0,,,501,164d+,1,0.0,0,0.3502704172862946,508.0864217425953,177.96764296127913,12884.34235703872
1317,2024-05-20,EU-East,beauty,14771.68,10.9,0,30,low,0.61,0,none,0.0,,,399,164d+,1,0.0,0,0.17039356477177353,440.46416533027457,75.0522592848493,14696.62774071515
753,2025-03-02,EU-West,cleaning,4235.86,4.5,0,0,low,0.45,0,none,0.0,,,113,90-120d,1,0.0,0,0.0589783539544116,582.901054098844,34.37854468904125,4201.481455310958
494,2025-02-22,EU-West,home_appliance,28478.64,3.4,0,30,low,0.54,0,none,0.0,,,121,120-164d,1,0.0,0,0.4887692020132787,1022.2123077347867,499.6258939396838,27979.014106060316
751,2025-04-21,EU-West,cleaning,10537.09,5.4,0,60,low,0.41,0,none,0.0,,,63,60-90d,1,0.0,0,0.24945560391607252,730.5617732727306,182.24272834974587,10354.847271650255
1049,2024-07-22,EU-South,beauty,7859.09,3.4,0,0,medium,0.71,0,none,0.0,,,336,164d+,1,0.0,1,0.49018734798415015,749.7400190607231,367.513071620962,7491.576928379038
789,2024-08-15,EU-North,home_appliance,12955.9,2.0,0,0,high,0.29,0,none,0.0,,,312,164d+,1,0.0,2,0.6873143177664377,728.1279856618717,500.45278971183984,12455.44721028816
